"Concepto","Economía"
2015,"b"
1-Feb,"b"
"$","b"
"%","b"
"( a nivel","b"
"( básico","b"
"( bilingüe","s"
"( comercial","s"
"( de preferencia","b"
"( deseable","b"
"( diario","b"
"( ex","b"
"( hablado","b"
"( ideal","b"
"( indispensable","b"
"( interna","b"
"( local","b"
"( locales","b"
"( mensual","b"
"( módulo","b"
"( nacionales","s"
"( nuevos","b"
"( obligatorio","b"
"( operativos","b"
"( oral","b"
"( por ejemplo","b"
"( preferible","s"
"( retail","s"
"( seguros","s"
"( semanal","b"
"*conocimiento","b"
"*experiencia","b"
"*manejo","s"
"¿qué","b"
"·","b"
"· responsable","b"
"001-2007-pcm","b"
"1.realizar","b"
"1pm","b"
"2.realizar","b"
"4.realizar","b"
"5:30pm","b"
"5ta","b"
"6:30pm","b"
"6to","b"
"7mo","b"
"7pm","b"
"8:00am","b"
"8vo","b"
"9:00am","b"
"9am","b"
"9no","b"
"a.","b"
"a.m.","b"
"abastecimiento","b"
"abastecimiento de bienes","n"
"abastecimiento de productos","n"
"abastecimiento oportuno","s"
"abc","b"
"abiertas","b"
"abierto","n"
"abogados","n"
"abono","n"
"abonos","n"
"abordar","n"
"absolución","n"
"absolución de consultas","n"
"absolver","n"
"absolver consultas","n"
"abstracción","n"
"acabaste","n"
"académica","b"
"académicas","b"
"académico","b"
"académicos","b"
"académicos prácticos","b"
"acceder","n"
"acces","n"
"acceso","n"
"accesorios","n"
"accesos","n"
"access","s"
"access a nivel","n"
"accidentes","b"
"acción","n"
"acción asociados","n"
"acción de mejora","n"
"acción en caso","n"
"acciones","s"
"acciones comerciales","s"
"acciones correctivas","n"
"acciones de apoyo","n"
"acciones de control","n"
"acciones de marketing","n"
"acciones de mejora","s"
"acciones de seguimiento","n"
"acciones de supervisión","s"
"acciones específicas","s"
"acciones necesarias","s"
"acciones pertinentes","s"
"acciones preventivas","n"
"acciones promocionales","n"
"accionistas","s"
"account","s"
"aceptable","b"
"aceptación","b"
"acerca","b"
"acercamiento","b"
"acertadas","b"
"acl","s"
"acompañamiento","b"
"acompañando","b"
"acompañar","b"
"acopio","b"
"acordadas","b"
"acordados","b"
"acordar","b"
"acorde","b"
"acordes","b"
"acreditación","n"
"acreditada","n"
"acreditado","n"
"acreditados","n"
"acreditar","n"
"acreditará","n"
"acrediten","n"
"acreedores","n"
"acta","n"
"actas","n"
"actas de reunión","n"
"action","n"
"actitud","b"
"actitud de servicio","n"
"actitud positiva","n"
"activa","n"
"activación","n"
"activación de líneas","n"
"activar","n"
"activas","n"
"actividad","n"
"actividad comercial","s"
"actividad empresarial","s"
"actividad inusual","n"
"actividades","n"
"actividades académicas","n"
"actividades administrativas","n"
"actividades afines","n"
"actividades asignadas","n"
"actividades comerciales","s"
"actividades complementarias","n"
"actividades contables","n"
"actividades de apoyo","n"
"actividades de asistencia","s"
"actividades de auditoría","s"
"actividades de capacitación","n"
"actividades de control","n"
"actividades de cumplimiento","n"
"actividades de difusión","n"
"actividades de investigación","s"
"actividades de marketing","n"
"actividades de planificación","s"
"actividades de promoción","n"
"actividades de responsabilidad","n"
"actividades de tesorería","s"
"actividades del área","n"
"actividades del equipo","n"
"actividades del personal","n"
"actividades del programa","s"
"actividades del proyecto","s"
"actividades desarrolladas","n"
"actividades inusuales","n"
"actividades necesarias","n"
"actividades operativas","s"
"actividades planificadas","n"
"actividades previstas","n"
"actividades programadas","n"
"actividades promocionales","n"
"actividades propias","n"
"actividades realizadas","n"
"actividades relacionadas","n"
"actividades requeridas","n"
"actividades similares","n"
"actividades supervisadas","n"
"actividades vinculadas","n"
"actividades y funciones","n"
"actividades y metas","n"
"actividades y planes","n"
"actividades y recursos","n"
"actividades y recursos actualizados","n"
"activo","s"
"activos","s"
"activos fijos","s"
"activos financieros","s"
"activos y financiamiento","s"
"activos y pasivos","s"
"actores","n"
"actos","n"
"actos preparatorios","n"
"actúa","n"
"actuación","n"
"actual","n"
"actuales","n"
"actualidad","b"
"actualiza","b"
"actualiza información","s"
"actualiza reportes","s"
"actualización","n"
"actualización","n"
"actualización de base","s"
"actualización de bases","s"
"actualización de conocimientos","s"
"actualización de datos","s"
"actualización de indicadores","s"
"actualización de información","s"
"actualización de normas","n"
"actualización de reportes","s"
"actualización del cuadro","s"
"actualización del seguimiento","s"
"actualización diaria","n"
"actualización permanente","s"
"actualización y análisis","s"
"actualizaciones","b"
"actualizaciones trimestrales","s"
"actualizada","n"
"actualizadas","n"
"actualizado","n"
"actualizados","n"
"actualizando","n"
"actualizar","n"
"actualizar","n"
"actualizar información","s"
"actualizar reportes","s"
"actualizar syllabus","n"
"actualizarse","b"
"actuar","n"
"actuarial","n"
"actuariales","n"
"acuerdo","n"
"acuerdo a ley","n"
"acuerdo al cronograma","n"
"acuerdo al mercado","n"
"acuerdo al perfil","n"
"acuerdo al plan","n"
"acuerdo al presupuesto","s"
"acuerdo al riesgo","s"
"acuerdo al rubro","n"
"acuerdos","b"
"acuerdos comerciales","s"
"acuerdos de nivel","n"
"acuerdos de niveles","n"
"acuerdos de servicio","n"
"acumulado","b"
"ad","b"
"adaptabilidad","n"
"adaptación","n"
"adaptación al cambio","n"
"adaptar","n"
"adecuación","n"
"adecuaciones","n"
"adecuada","n"
"adecuadas","n"
"adecuado","n"
"adecuados","n"
"adelantos","n"
"adendas","n"
"adeudados","n"
"adhoc","n"
"ad-hoc","n"
"adicional","n"
"adicionales","n"
"adjudicación","n"
"adjudicación de propuestas","n"
"adjudicada","n"
"adjudicados","n"
"adjudicar","n"
"adjunta","n"
"adjuntando","n"
"adjuntar","n"
"adjunto","n"
"adm.","n"
"administra","n"
"administracion","n"
"administración","n"
"administración","n"
"administración bancaria","s"
"administración comercial","s"
"administración de activos","s"
"administración de base","n"
"administración de cartera","s"
"administración de contratos","s"
"administración de empresas","s"
"administración de información","s"
"administración de negocios","s"
