"Id","Año","Mes","Fuente","Job Title","Description","Qualifications","Organization Name","EI","F","TE","OI","MC","P","EM"
"analista de planeamiento financiero analizar controlar y hacer seguimiento de los presupuestos así como apoyar en el desarrollo de rollings y presentación de resultados financieros controlar las órdenes internas de gastos y análisis comercial de los resultados diarios reales comparado al presupuesto y rolling de cada mes elaborar y analizar los reportes diarios semanales y mensuales de indicadores de gestión u otra información requerida por nuestros clientes internos o externos 1 o 2 años de experiencia elaborar y analizar los reportes diarios semanales y mensuales de indicadores de gestión u otra información requerida por nuestros clientes internos o externos controlar las órdenes internas de gastos y análisis comercial de los resultados diarios reales comparado al presupuesto y rolling de cada mes analizar controlar y hacer seguimiento de los presupuestos así como apoyar en el desarrollo de rollings y presentación de resultados financieros",2014,11,"symplicity","Analista de Planeamiento Financiero","Analizar, controlar y hacer seguimiento de los presupuestos, así como apoyar en el desarrollo de rollings y presentación de resultados financieros.
Controlar las órdenes internas de gastos y análisis comercial de los resultados diarios reales, comparado al presupuesto y rolling de cada mes.
Elaborar y analizar los reportes diarios, semanales y mensuales, de indicadores de gestión u otra información requerida por nuestros clientes internos o externos.","1 o 2 años de experiencia
Elaborar y analizar los reportes diarios, semanales y mensuales, de indicadores de gestión u otra información requerida por nuestros clientes internos o externos.
Controlar las órdenes internas de gastos y análisis comercial de los resultados diarios reales, comparado al presupuesto y rolling de cada mes.
Analizar, controlar y hacer seguimiento de los presupuestos, así como apoyar en el desarrollo de rollings y presentación de resultados financieros.","Corporación José R. Lindley S.A. (20101024645)",,"x",,,,"X",
"analista de negocios banca mayorista análisis e interpretación de estados financieros brinda soporte para mantener el orden administrativo y riesgo de la cartera asignada en coordinación con el funcionario de realiza seguimiento al desembolso de las operaciones atiende de consultas y requerimientos de clientes proporciona soporte en la elaboración de propuestas de créditos asignadas por el funcionario de reemplaza al funcionario de en caso de ausencia",2016,5,"symplicity","Analista de Negocios - Banca Mayorista","•Análisis e interpretación de estados financieros.
•Brinda soporte para mantener el orden administrativo y riesgo de la cartera asignada, en coordinación con el Funcionario de .
•Realiza seguimiento al desembolso de las operaciones.
•Atiende de consultas y requerimientos de clientes.
•Proporciona soporte en la elaboración de propuestas de créditos asignadas por el Funcionario de .
•Reemplaza al Funcionario de  en caso de ausencia.","-","Banco de Crédito del Perú BCP (20100047218)",,"x",,,,,
"practicante de finanzas generar información financiera en base a proyección de ingresos donde se analizan los datos de las unidades de negocio realización de presupuestos donde se analizan los costos y gastos históricos de las empresas de la corporación y se divide por giro realización del ejecutado donde se analiza lo presupuestado vs lo real recopilar información de la empresa y financiera analizar los gastos de todas las empresas de la corporación generando así un ahorro en los gastos básicos verificar la proyección de los nuevos proyectos 1 año de prácticas",2013,3,"symplicity","Practicante de Finanzas","- Generar información financiera en base a: Proyección de Ingresos, donde se analizan los datos de las unidades de negocio. 
   - Realización de Presupuestos, donde se analizan los costos y gastos históricos de las empresas de la corporación y se divide por giro.
 - Realización del Ejecutado, donde se analiza lo presupuestado Vs lo real.
- Recopilar información de la empresa y financiera.
- Analizar los gastos de todas las empresas de la corporación, generando así un ahorro en los gastos básicos.
- Verificar la proyección de los nuevos proyectos.","1 año de prácticas.","Marimat Selecta SAC - Consultora de Recursos Humanos (20544839374)",,"X",,,,"X",
"coordinador de economía escuela de posgrado evaluar la propuesta económica de los programas nuevos y la formulación de los programas existentes ofrecidos por la escuela elaborar propuestas de mejora en el manejo de los recursos económicos de la escuela elaborar la tabla resumen con el resultado de la ejecución de cada programa para la aprobación del presupuesto del superávit evaluar y aprobar las modificaciones presupuestales por los programas registradas durante el año enviar el presupuesto aprobado por la oficina de presupuestos así como la modificación presupuestal aprobada a los directores de programas coordinar con la dirección de economía el traspaso de fondos en caso de articulación vertical evaluar y aprobar las solicitudes de autorizaciones de viaje propuestas por los programas a lo largo del año cualquier otra función encomendada por su jefe deseable 2 años de experiencia en el sector o en el área conocimiento de office a nivel avanzado conocimiento de inglés a nivel intermedio horario horario de lunes a viernes de 09 00 a 18 00 horas",2015,8,"symplicity","Coordinador de Economía - Escuela de Posgrado","•	Evaluar la propuesta económica de los programas nuevos y la formulación de los programas existentes ofrecidos por la Escuela.
•	Elaborar propuestas de mejora en el manejo de los recursos económicos de la Escuela.
•	Elaborar la tabla resumen con el resultado de la ejecución de cada Programa para la aprobación del presupuesto del superávit.
•	Evaluar y aprobar las modificaciones presupuestales por los programas registradas durante el año.
•	Enviar el presupuesto aprobado por la Oficina de Presupuestos así como la modificación presupuestal aprobada a los Directores de Programas.
•	Coordinar con la Dirección de Economía el traspaso de fondos en caso de articulación vertical.
•	Evaluar y aprobar las solicitudes de autorizaciones de viaje propuestas por los programas a lo largo del año.
•	Cualquier otra función encomendada por su jefe.","•	Deseable 2 años de experiencia en el sector o en el área.
•	Conocimiento de Office a nivel avanzado.
•	Conocimiento de Inglés a nivel intermedio.

Horario:
•	Horario  de Lunes a Viernes de 09:00 a 18:00 horas","Pontificia Universidad Católica del Perú - Dirección de Recursos Humanos (20155945860)",,,,,,"X",
"gerente administrativo de personal puno supervisar los procesos técnicos del sistema de gestión de recursos humanos administración de personal escalafón control de asistencia y permanencia reasignaciones incidencias sanciones y otras proponer lineamientos para el buen funcionamiento de los procesos de recursos humanos reglamentos manuales de procedimientos y o directivas en particular sobre algún sub sistema participar en la programación del presupuesto analítico de personal pap en coordinación con el área responsable de la planificación y presupuesto y demás instancias pertinentes para gestionar su ejecución proponer los perfiles de puesto de manera sostenida como soporte de los demás subsistemas y actividades del área ejecución de los procesos de incorporación concursos públicos e inducción del personal administrar el sistema de planillas compensaciones y beneficios remuneraciones y pensiones gestionar el proceso de capacitación evaluación del desempeño y desarrollo del personal dando ejecución al plan de desarrollo de personas pdp experiencia previa como analista o en cargos similares tanto en el sector público como privado obligatorio mínimo 5 años de experiencia profesional general obligatorio mínimo 3 años de experiencia específica en el área de trabajo en el sector público o privado obligatorio mínimo 2 años de experiencia prestando servicios al estado peruano dentro del área de trabajo acreditada en los últimos 10 años obligatorio",2014,12,"symplicity","Gerente Administrativo de Personal - Puno","• Supervisar los procesos técnicos del Sistema de Gestión de Recursos Humanos (administración de personal, escalafón, control de asistencia y permanencia, reasignaciones, incidencias, sanciones y otras).
• Proponer lineamientos para el buen funcionamiento de los procesos de Recursos Humanos (reglamentos, manuales de procedimientos y/o directivas en particular sobre algún sub sistema).
• Participar en la programación del Presupuesto Analítico de Personal (PAP), en coordinación con el Área responsable de la Planificación y Presupuesto, y demás instancias pertinentes para gestionar su ejecución.
• Proponer los perfiles de puesto de manera sostenida como soporte de los demás subsistemas y actividades del área.
• Ejecución de los procesos de incorporación, concursos públicos e inducción del personal.
• Administrar el sistema de planillas, compensaciones y beneficios (remuneraciones y pensiones).
• Gestionar el proceso de capacitación, evaluación del desempeño y desarrollo del personal, dando ejecución al Plan de Desarrollo de Personas (PDP).","•Experiencia previa como Analista o en cargos similares, tanto en el sector público como privado. (OBLIGATORIO).
• Mínimo 5 años de experiencia profesional general. (OBLIGATORIO).
• Mínimo 3 años de experiencia específica en el área de trabajo, en el sector público o privado. (OBLIGATORIO).
• Mínimo 2 años de experiencia prestando servicios al Estado Peruano dentro del área de trabajo acreditada en los últimos 10 años (OBLIGATORIO).","Autoridad Nacional del Servicio Civil - SERVIR (20477906461)",,,,,,"X",
"practicante de créditos y cobranzas evaluación de situación crediticia en infocorp y verificación de referencias comerciales análisis y segmentación de clientes elaboración de scoring colaborar en la implementación de la plataforma de créditos procesamiento de solicitudes de crédito en el sistema registro en el sistema de las garantías aprobadas conocimientos microfinanzas experiencia en análisis de créditos haber laborado minimo 6 meses en cajas rurales cajas municipales edpymes",2013,4,"symplicity","Practicante de Créditos y Cobranzas","- Evaluación de situación crediticia en INFOCORP, y verificación de referencias comerciales.
- Análisis y segmentación de clientes elaboración de scoring.
- Colaborar en la implementación de la plataforma de créditos.
- Procesamiento de solicitudes de crédito en el sistema.
- Registro en el sistema de las garantías aprobadas.","Conocimientos:
Microfinanzas.

Experiencia:
En análisis de créditos, haber laborado minimo 6 meses en cajas rurales. cajas municipales, EDPYMES.","Corporación Aceros Arequipa S.A. (20370146994)",,"X",,,,,
"analista financiero control y modificación del modelo financiero de la empresa análisis de eeff elaboración de reporte al directorio análisis de requerimiento de capital a los accionistas reportes de indicadores financieros participar del proceso de elaboración del presupuesto y análisis del cumplimiento preparación del estado de usos y fondos manejo de excel avanzado conocimiento de evaluación financiera de proyectos experiencia mínima de 1 año en puestos afines con actividades de relación con inversionistas finanzas corporativas y análisis financiero experiencia en evaluación de proyectos",2014,5,"symplicity","Analista Financiero","•Control y modificación del modelo financiero de la empresa.
•Análisis de EEFF.
•Elaboración de reporte al directorio.
•Análisis de requerimiento de capital a los accionistas.
•Reportes de indicadores financieros.
•Participar del proceso de elaboración del presupuesto y análisis del cumplimiento.
•Preparación del estado de Usos y Fondos.","•Manejo de excel avanzado.
•Conocimiento de evaluación financiera de proyectos.
•Experiencia mínima de 1 año en puestos afines, con actividades de relación con inversionistas, finanzas corporativas y análisis financiero.
•Experiencia en evaluación de proyectos.","Colegios Peruanos S.A.C. (20510713363)",,"x",,,,"X",
"analista de planificación comercial homologar controlar y revisar la información y o propuestas recibidas enviada por las diferentes áreas de la empresa especialmente las de marca y post venta sugerir cambios en la información enviada por los gerentes de marca con la finalidad de buscar estandarizar los informes de las diversas áreas brindar la información requerida por el gerente general de manera constante precisa y clara realizar el estudio y evaluación de nuevos negocios y o proyectos tanto de productos como de información analizar toda la información referente a las compras y o ventas que se realicen en la empresa con la finalidad de emitir informes de resultados de las mismas así como nuevas propuestas participar activamente de la estructuración del presupuesto beneficios cobertura del almuerzo diario al 100 descuentos a partir del cuarto mes de permanencia con empresas de distintos rubros descuentos en productos y servicios del grupo eps crecimiento interno conocimientos de indicadores de gestión y reportes estadísticos",2015,6,"symplicity","ANALISTA DE PLANIFICACIÓN COMERCIAL","- Homologar, controlar y revisar la información y/o propuestas recibidas enviada por las  diferentes áreas de la empresa, especialmente las de marca y post venta.
- Sugerir cambios en la información enviada por los Gerentes de Marca con la finalidad de buscar estandarizar los informes de las diversas áreas.
-  Brindar la información requerida por el Gerente General de manera constante, precisa y clara.
- Realizar el estudio y evaluación de nuevos negocios y/o proyectos, tanto de productos como de información.
- Analizar toda la información referente a las compras y/o ventas que se realicen en la empresa con la finalidad de emitir informes de resultados de las mismas, así como nuevas propuestas.
- Participar activamente de la estructuración del presupuesto.

BENEFICIOS:
-  Cobertura del almuerzo diario al 100%
-  Descuentos a partir del cuarto mes de permanencia con empresas de distintos rubros.
-  Descuentos en productos y servicios del Grupo. 
-  EPS.
-  Crecimiento interno.","-Conocimientos de indicadores de gestión y reportes estadísticos.","Automotores Gildemeister Perú S.A. (20506006024)",,,,,"x","X",
"coordinador de trade marketing nuestro cliente empresa transnacional nos ha encargado la búsqueda de profesionales calificados para ocupar la posición de coordinador de trade marketing funciones manejar proyectos específicos en el área identificar oportunidades proponer promociones planes de acción hacer seguimiento a estos etc desarrollar propuestas de actividades promocionales y campañas en puntos de venta visita fidelización a los clientes seguimiento a indicadores de gestión desarrollo de planes mensuales que contemplen acciones al trade y consumidor evaluación y desarrollo de canales a cargo gestión del presupuesto y materiales asignados brindar capacitación a los usuarios viajar eventualmente conocimiento de los diversos canales de comercialización tradicional moderno excel y power point a nivel intermedio experiencia mínima de 3 años en posiciones de ventas o trade marketing de preferencia en empresas de experiencia en administración y cuidado de presupuesto asignado comprobada consumo masivo beneficios utilidades eps bonos anual hasta 3 sueldos utilidades promedio de 4 sueldos",2013,3,"symplicity","Coordinador de Trade Marketing","Nuestro cliente, empresa transnacional, nos ha encargado la búsqueda de profesionales calificados para ocupar la posición de Coordinador de Trade Marketing.

Funciones:

•	Manejar proyectos específicos en el área (identificar oportunidades, proponer promociones, planes de acción, hacer seguimiento a estos, etc).
•	Desarrollar propuestas de actividades promocionales y campañas en puntos de venta.
•	Visita –fidelización- a los clientes.
•	Seguimiento a indicadores de gestión.
•	Desarrollo de planes mensuales que contemplen acciones al trade y consumidor.
•	Evaluación y desarrollo de canales a cargo
•	Gestión del presupuesto y materiales asignados.
•	Brindar capacitación a los usuarios.
•	Viajar eventualmente.","• Conocimiento de los diversos canales de comercialización (tradicional, moderno)
• Excel y Power Point a nivel intermedio
•Experiencia mínima de 3 años en posiciones de ventas o trade marketing de preferencia en empresas de
•Experiencia en administración y cuidado de presupuesto asignado comprobada  consumo masivo.

Beneficios:

• Utilidades.
• EPS.
• Bonos anual: hasta 3 sueldos.
• Utilidades: Promedio de 4 sueldos.","Link Consulting S.A.C. Consultora de Recursos Humanos (20510827610)",,,,,,,"X"
"gerente de finanzas objetivo del puesto elaborar y ejecutar de manera permanente el plan financiero estratégico de la empresa mediante la implementación y supervisión del registro adecuado de las operaciones financieras y contables generar información de manera oportuna confiable y veraz que permita una adecuada y correcta toma de decisiones funciones 1 coordinar y participar en la elaboración de estados e informes financieros 2 coordinar la elaboración del presupuesto anual de ingresos y egresos a nivel empresa y sus departamentos subsidiarias 3 controlar las finanzas de la empresa a nivel general y por departamento y mejorar sus rendimientos 4 apoyar en la toma de decisiones económicas y presentar los resultados de la gestión administrativa 5 obtener el mayor beneficio de los fondos patrimoniales 6 autorizar y controlar el envío de recursos a las oficinas de la empresa fuera de la central 7 supervisar que se mantenga el flujo de caja necesario para la operación de la empresa 8 supervisar el correcto registro de las operaciones financieras y contables 9 dirigir las auditorías y gestionar las relaciones con los auditores 10 representar la empresa ante trámites en materia fiscal y financiero titulado en contabilidad deseable especialización en finanzas controlling y o contabilidad",2016,5,"symplicity","Gerente de Finanzas","Objetivo del puesto:
Elaborar y ejecutar de manera permanente el plan financiero estratégico de la empresa mediante la implementación y supervisión del registro adecuado de las operaciones financieras y contables. Generar información de manera oportuna, confiable y veraz que permita una adecuada y correcta toma de decisiones.

Funciones:
1. Coordinar y participar en la elaboración de estados e informes financieros. 
2. Coordinar la elaboración del presupuesto anual de ingresos y egresos a nivel empresa y sus departamentos/subsidiarias
3. Controlar las finanzas de la empresa a nivel general y por departamento y mejorar sus rendimientos. 
4. Apoyar en la toma de decisiones económicas y presentar los resultados de la gestión administrativa. 
5. Obtener el mayor beneficio de los fondos patrimoniales. 
6. Autorizar y controlar el envío de recursos a las oficinas de la empresa fuera de la central. 
7. Supervisar que se mantenga el flujo de caja necesario para la operación de la empresa.
8. Supervisar el correcto registro de las operaciones financieras y contables.
9. Dirigir las auditorías y gestionar las relaciones con los auditores
10. Representar la empresa ante trámites en materia fiscal y financiero.","Titulado en Contabilidad.
Deseable especialización en Finanzas, Controlling y/o Contabilidad.","Servicios Turisticos Generales - Setours (20100939887)",,"x",,,,"X",
