Texto,areas
"Analista de Administracion y Finanzas Analizar los estados financieros e identificar las principales variaciones relevantes para la toma de decisiones Organizacionales.
Analizar las cuentas del estado de resultados haciendo seguimiento a los márgenes, al EBITDA y al punto de equilibrio con la finalidad determinar y realizar un seguimiento periódico a la rentabilidad de la Organización.
Controlar los costos de la Organización a través de un sistema de costeo por tipo de negocio.
Consolidar y monitorear el cumplimiento del presupuesto Organizacional generando planes de acción para reducir las diferencias existentes en la ejecución presupuestal.
Analizar la evolución del flujo de caja para determinar las necesidades de financiamiento de la Organización.
Consolidar y procesar información para elaborar los reportes correspondientes de acuerdo a las necesidades de la Organización.
Implementar las normas de control interno y realizar el seguimiento del cumplimiento de las mismas para garantizar el resguardo de los recursos Organizaciones.
Elaborar indicadores de gestión administrativos y financieros realizando un seguimiento periódico de los resultados con la finalidad de monitorear el desempeño económico y financiero de la Organización.
Controlar las pólizas de seguros de la Organización para garantizar el resguardo de los recursos Organizaciones.
Administrar y controlar los documentos del Departamento de Administración y Finanzas. 02 años cumpliendo las funciones señaladas.","('F', 'P')"
"Analista de Inteligencia de Cobranzas MISIÓN:
Proporcionar soporte estratégico, táctico, operativo  y tecnológico  al área de cobranzas Banca Minorista en el proceso de desarrollo e implementación de herramientas Inteligentes y Analíticas para el desarrollo y gestión del portafolio de la Banca alineado a los objetivos del Banco.

FUNCIONES:
1. Integrar el equipo estratégico de cobranzas para el desarrollo de propuestas e implementación de estrategias y tácticas de gestión en coordinación con los coordinadores de productos, el negocio, riesgos y canales de gestión.
2. Desarrollar y administrar las herramientas analíticas y de gestión para la toma de decisiones (indicadores gerenciales: contención, provisiones, efectividades, vintage, KPI- KRI-RI-metas, BSC, presupuestos y gastos; de producción: Timing y diagnóstico), rutas y momentos óptimos de gestión (Líneas de Tiempo).
3. Segmentar, evaluar, sensibilizar  y analizar el portafolio de cobranzas para definir cluster de gestión por enfoque eficiencia- eficacia- oportunidad mediante metodologías estadísticas y operativas.
4. Desarrollo e implementación de los proyectos  sistémicos, analíticos, procesos y operativos estratégicos del área de cobranzas.
5. Administración de software tecnológico de cobranzas ICS, Genesis, bases cobranzas  y Afines. (Mobile, SMS, IVR, Redes Sociales) •	ORACLE intermedio
•	Sql Server avanzado
•	SPSS intermedio y/o Afines.
•	Conocimiento de Banca.
•	Conocimiento de normativa SBS.
•	Diplomado o Curso de Extensión de Business intelligence.","('F', 'P')"
"Analista Financiero Elaboración de Valorizaciones mensuales de Proyectos Propios para los supervisores de bancos.
Seguimiento a las liberaciones de cada proyecto de acuerdo a las condiciones aprobadas.
Análisis de Flujo de Caja por Proyecto, partiendo del estudio de factibilidad.
Análisis de posición de deuda y cálculo de intereses de las deudas con entidades financieras, así como el control de vencimientos dando las alertas necesarias.
Elaboración de Memorias para obtener el financiamiento de terrenos para nuevos proyectos.
Revisión del Estudio de Inversión y elaboración de Estudio de Factibilidad para solicitar aprobación del promotor (mínimo con 4 bancos).
Financiamiento bancario: Capital de Trabajo, Préstamos Comerciales, Cartas de Crédito.
Estructuración de Proyectos.
Control de gastos financieros y administrativos de la empresa.
Conocer y hacer seguimiento a los contratos.
Conocer y hacer seguimiento a los contratos de Fideicomiso.
Conocer y hacer seguimiento a los financiamientos.
Supervisión del asistente de finanzas y tesorería. Experiencia de trabajo en bancos o entidades del sistema financiero y/o en empresas relacionadas al sector inmobiliario. 
Conocimiento y experiencia en operaciones en el mercado de valores.
Con capacidad para sistematizar bases de datos.
Manejo de flujo de caja como herramienta de trabajo. 
Buen manejo de relaciones con entidades financieras y supervisoras.","('F', 'P')"
"Asistente de Gestión de Proyectos de Investigación -Levantar, sistematizar y analizar toda la información requerida para el inicio de proyectos de investigación, a fin de asegurar que el equipo investigador, el equipo de gestión, y los grupos de interés vinculados, tengan toda la información necesaria para una adecuada planificación de la gestión del proyecto, y con ello minimizar las probabilidades de incidencias y riesgos durante su ejecución.
-Elaborar lineamientos para la gestión de proyectos de investigación, de acuerdo a los requerimientos y disposiciones de cada entidad financiadora, a fin de que el equipo investigador, el equipo de gestión, y los grupos de interés vinculados, conozcan cuales son los procedimientos y disposiciones a utilizar durante la ejecución del proyecto, asegurando con ello su eficaz desarrollo.
-Monitorear ejecución de proyectos de investigación asignados, a través de herramientas diseñadas para ello, a fin de identificar oportunamente incidencias, riesgos y oportunidades de mejora que aseguran el logro eficaz de los objetivos y resultados propuestos, y sistematizar información que permita la toma de decisiones a diversos niveles.
-Controlar la ejecución financiera de proyectos de investigación asignados, a fin de asegurar el cumplimiento de políticas y disposiciones relacionadas a la ejecución de proyectos de investigación, tanto a nivel interno como externo, así como la eficiencia en la gestión del proyecto.
-Elaborar y analizar informes financieros periódicos de los proyectos de investigación, a fin de cumplir con los compromisos adquiridos con entidades aportantes, y brindar información oportuna y exacta para la toma de decisiones.
-Brindar asesoría a equipos investigadores, sobre temas de gestión de proyectos de investigación, a fin de asegurar que poseen la información y conocimientos necesarios para lograr los objetivos y resultados propuestos, cumplir con los compromisos adquiridos, y cumplir con políticas y disposiciones sobre gestión de proyectos de investigación.
-Identificar, proponer y participar en la implementación de oportunidades de mejora para la gestión de proyectos de investigación, permitiendo mejorar continuamente la gestión, y asegurar que se satisfacen las expectativas de todos los grupos de interés vinculados.
-Coordinar con diversas instancias, tanto a nivel interno como externo, sobre todas las gestiones vinculadas al desarrollo de los proyectos de investigación, a fin de asegurar que se cuentan con condiciones adecuadas para el desarrollo de proyectos, y mitigar el impacto de incidencias o riesgos que pudieran ocurrir.
-Realizar otras funciones asignadas por su superior inmediato. Tener una especialización en Gestión de Proyectos.
Contar con experiencia en el sector Educación de 1 año (deseable).
Contar con experiencia de, por lo menos, 1 año, en el área de Gestión de Proyectos (indispensable).
Contar con experiencia de, por lo menos, 2 años, en el puesto de Analista de proyectos (indispensable).
Tener conocimiento de MS Project a nivel intermedio.","('F', 'P')"
"CAP Nº 008 - 2016 – Especialista Económico Elaborar informes, presentaciones, estudios analíticos y documentos de investigación sobre aspectos económicos y financieros, así como sobre temas de regulación, supervisión y fiscalización de los sectores de energía y minería.
Realizar estudios econométricos, estadísticos y computacionales relacionados a los aspectos económicos y técnicos de los sectores de energía y minería, utilizando bases de datos y encuestas, para proveer de soporte técnico a Osinergmin en materia cuantitativa.
Proponer y supervisar  la ejecución del plan operativo  del área, alineándolo al Plan Estratégico, a fin de aportar en la consecución de los objetivos de la institución.
Absolver consultas en materia económica sobre  las funciones, bajo  los ámbitos  de competencia de Osinergmin, para dar atención a las otras áreas.
Organizar la información estadística necesaria para mantener actualizada las bases de datos que la Gerencia requiere para el análisis económico en temas de energía y minería.
Liderar los equipos de trabajo para atender los encargos solicitados por la Alta Dirección y Gerencia General, a fin de alcanzar las metas estratégicas de Osinergmin.
Supervisar la realización de consultorías sobre estudios económicos y proyectos estadísticos que requiere la Gerencia en temas de energía y minería.
Ejecutar la realización de eventos, seminarios y publicaciones de carácter académico y técnico, así como la representación de Osinergmin en grupos de trabajo ínter-institucionales para posicionar a la entidad como líder en la gestión de políticas públicas en los sectores de energía y minería. No menor de cinco (08) años de experiencia general en entidades públicas o privadas.
No menor de tres (06) años de experiencia específica en puestos y/o funciones equivalentes, desde el nivel Analista o Especialista.","('F', 'P')"
"GESTOR DE PLANEAMIENTO FINANCIERO - Liderar el proceso presupuestal de la Compañía.
- Implementar un modelo dinámico de proyección de flujo de caja y balance general.
- Incorporar el modelo de costeo en decisiones de gestión y potenciar el modelo de rentabilidad por cliente.
- Implementar y mantener un modelo presupuestal en herramienta financiera.
- Elaborar forecasts y proyecciones de Ganancias y Pérdidas.
- Elaborar indicadores de balance general y análisis financieros para la gerencia.
- Monitorear la evolución del requerimiento patrimonial de la compañía y realizar las proyecciones necesarias.
- Dar soporte y seguimiento a Clínica Internacional en materia financiera.
- Elaborar reportes financieros para el centro corporativo y clasificadoras de riesgo.
- Elaborar diversos análisis financieros para la alta gerencia. - Mínimo 2 años en puesto similar como Analista Senior de Planeamiento Financiero.
- Manejo de Hyperion o ERP o SAP intermedio.","('F', 'P')"
"Jefe de Finanzas, Tesorería y Cobranzas -Responsable del área de finanzas, tesorería, caja, facturación, créditos y cobranzas. 
-Realizar la evaluación de crédito y gestión de cartera de cobranzas de los clientes a crédito. 
-Realizar auditoría interna de sus propias remesas y comunicar al área de Control Interno. 
-Controlar la gestión de cobranzas de la empresa. 
-Supervisa la ejecución y evaluación del presupuesto anual.
-Elaboración y control de presupuestos. 
-Elaborar informe de estados financieros para su presentación a Gerencia General. 
-Responsable de generar estrategias para el aumento en la recaudación y disminuir la morosidad. 
-Verificar la realización de arqueos de dinero. -Titulado de las carreras de Contabilidad, Economía, Administración o a fines. 
- Experiencia mínima 4 años en jefaturas indicadas. 
- Conocimientos en interpretación de EEFF, indicadores financieros y de gestión, productos bancarios, ratios. 
-Experiencia mínima de 4 años en Finanzas, tesorería, créditos y cobranzas -Conocimiento de la Norma ISO 9001 y OHSAS 18001. 
-Dominio de Office nivel avanzado, excel a nivel avanzado.","('F', 'P')"
"JEFE DE NEGOCIOS •	Asegurar el cumplimiento de las metas de ventas establecidas bajo los criterios  de rentabilidad de la empresa a través de la prospección de nuevos clientes y el mantenimiento de la cartera actual de clientes.
•	Documentar las acciones en el CRM (Crear potenciales, llamadas, tareas, eventos, programación de reuniones y actualización de la información).
•	Actualizar negociaciones sobre el concepto de ""venta consultiva"" mediante el uso de las herramientas proporcionadas por la empresa.
•	Recabar información relacionada con la documentación necesaria para la inscripción y apertura del cliente, análisis de crédito e informar al departamento de riesgos sobre anomalías de crédito del cliente del mercado donde actúa.
•	Monitorear el mercado en la región en la que opera (mapeo) para identificar la prospección de nuevas oportunidades de negocio.
•	Apoyar otras áreas de la empresa en las acciones de recuperación, que buscan minimizar los problemas de incumplimiento del cliente.
•	Elaboración de propuestas técnicas, comerciales y estudios de viabilidad financiera. •	Bachiller o titulado en Administración de Empresas, Ingeniería Industrial, Economía y/o carreras a fines.
•	Experiencia de 2 años en posiciones similares de ventas en empresas financieras o de servicios.
•	Deseable conocimiento de Leasing Operativo
•	Manejar cartera de clientes en los cuales los vehículos no sean el Core Business
•	Gestión de Ventas","('F', 'P')"
"Key Account Manager •	Analizar proyecciones de venta por canal y generar planes de acción que permitan un incremento en la rentabilidad, posicionamiento y participación de mercado.
•	Elaborar indicadores de gestión, productividad, medición de campañas y análisis de ventas por segmento.
•	Diseñar planes de trabajo orientados a generar mejores vínculos con los clientes retail y en consecuencia con clientes finales.
•	Definir y controlar el cumplimiento de las políticas de stocks de productos que permita la adecuada gestión del showroom a instalar en cada uno de los puntos de venta. Asegurando que la reposición se realice en los plazos definidos.
•	Analizar los datos de ventas para mejorar los resultados de las cuentas asignadas.
•	Negociación y relación directa con las marcas para dar fluidez a los negocios mensuales.
•	Lograr un alto estándar de satisfacción en todas las áreas de relación con el cliente.
•	Responsable de la obtención de resultados de objetivo mes.
•	Participación activa en los acuerdos comerciales con los clientes.
•	Detectar oportunidades de negocio y ampliar el portafolio ya existente dentro de la cartera de cliente activa.
•	Coordinar la estrategia comercial junto con la dirección comercial.
•	Manejo de relaciones públicas con compradores y gerencia comercial de los distintos Retails. •	Experiencia mínima de 4 años en el sector retail.","('F', 'P')"
"Practicante Ventas Cash Management Ayuda en la venta de Productos de Cash Management para Banca Retail.
Soporte en la post venta de productos a Banca Retail: Scotiacard, Telebanking, Recaudación y Letras.
Elaboración de la información de reportes Follow the Money para los Annual Review.
Seguimiento en la activación y registro de convenios afiliados, así como en su uso.
Ayuda en la elaboración de presentaciones periódicas a las bancas y reportes mensuales.
Preparación de información para el Comité semanal de Ventas. De preferencia alguna experiencia en Cash Management y habilidades comerciales de ser posible.
Habilidades comerciales
Office avanzado
Inglés intermedio
•	De preferencia 01 año practicando en áreas comerciales manejando una cartera de clientes. Conocimientos financieros y bancarios.
•	Conocimientos Administrativos y contables
•	Conocimiento legal, sobre todo en Fideicomiso (Ley de Bancos).
•	Conocimiento en mercado de capitales.
•	Manejo del MS Office a nivel intermedio.
•	Manejo del Ingles a nivel intermedio.","('F', 'P')"
